trial_number,stim_type,tone,intensity,ITI,stim_paths,response_duration
1,angry,low,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC07_Ang_075_.jpg,0.8
2,sad,high,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC04_Sad_075_.jpg,0.8
3,angry,low,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC08_Ang_075_.jpg,0.8
4,sad,high,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC02_Sad_050_.jpg,0.8
5,sad,high,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC04_Sad_100_.jpg,0.8
6,angry,low,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC09_Ang_050_.jpg,0.8
7,sad,high,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC07_Sad_075_.jpg,0.8
8,angry,low,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC05_Ang_050_.jpg,0.8
9,sad,high,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC02_Sad_100_.jpg,0.8
10,sad,high,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC04_Sad_075_.jpg,0.8
11,angry,low,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC08_Ang_050_.jpg,0.8
12,angry,low,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC09_Ang_075_.jpg,0.8
13,angry,low,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC07_Ang_050_.jpg,0.8
14,sad,high,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC05_Sad_075_.jpg,0.8
15,sad,low,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC08_Sad_050_.jpg,0.8
16,angry,low,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC09_Ang_075_.jpg,0.8
17,angry,low,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC07_Ang_075_.jpg,0.8
18,sad,high,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC05_Sad_050_.jpg,0.8
