block,stim_paths,stim_type,RAND
rate_faces,/js/tasks/emotional_faces_v2/media/faces/MC02_Sad_050_.jpg,sad,0.612705969
rate_faces,/js/tasks/emotional_faces_v2/media/faces/MC04_Ang_075_.jpg,angry,0.200371658
rate_faces,/js/tasks/emotional_faces_v2/media/faces/MC07_Sad_050_.jpg,sad,0.248656801
rate_faces,/js/tasks/emotional_faces_v2/media/faces/MC08_Sad_075_.jpg,sad,0.477912405
rate_faces,/js/tasks/emotional_faces_v2/media/faces/MC05_Ang_075_.jpg,angry,0.119808259
rate_faces,/js/tasks/emotional_faces_v2/media/faces/MC09_Sad_050_.jpg,sad,0.414180695
rate_faces,/js/tasks/emotional_faces_v2/media/faces/MC02_Ang_075_.jpg,angry,0.097806099
rate_faces,/js/tasks/emotional_faces_v2/media/faces/MC08_Sad_050_.jpg,sad,0.318735142
rate_faces,/js/tasks/emotional_faces_v2/media/faces/MC07_Ang_075_.jpg,angry,0.507401472
rate_faces,/js/tasks/emotional_faces_v2/media/faces/MC04_Ang_050_.jpg,angry,0.635133405
rate_faces,/js/tasks/emotional_faces_v2/media/faces/MC02_Ang_100_.jpg,angry,0.673314405
rate_faces,/js/tasks/emotional_faces_v2/media/faces/MC05_Sad_075_.jpg,sad,0.398633281
rate_faces,/js/tasks/emotional_faces_v2/media/faces/MC08_Ang_050_.jpg,angry,0.915166286
rate_faces,/js/tasks/emotional_faces_v2/media/faces/MC04_Sad_075_.jpg,sad,0.75756163
rate_faces,/js/tasks/emotional_faces_v2/media/faces/MC07_Sad_075_.jpg,sad,0.211042808
rate_faces,/js/tasks/emotional_faces_v2/media/faces/MC09_Sad_075_.jpg,sad,0.570522993
rate_faces,/js/tasks/emotional_faces_v2/media/faces/MC07_Ang_050_.jpg,angry,0.206863338
rate_faces,/js/tasks/emotional_faces_v2/media/faces/MC04_Sad_100_.jpg,sad,0.702710579
rate_faces,/js/tasks/emotional_faces_v2/media/faces/MC05_Ang_050_.jpg,angry,0.445564004
rate_faces,/js/tasks/emotional_faces_v2/media/faces/MC02_Sad_100_.jpg,sad,0.934142406
rate_faces,/js/tasks/emotional_faces_v2/media/faces/MC09_Ang_075_.jpg,angry,0.286266375
rate_faces,/js/tasks/emotional_faces_v2/media/faces/MC09_Ang_050_.jpg,angry,0.153381711
rate_faces,/js/tasks/emotional_faces_v2/media/faces/MC08_Ang_075_.jpg,angry,0.400529404
rate_faces,/js/tasks/emotional_faces_v2/media/faces/MC05_Sad_050_.jpg,sad,0.810681442
