instruct_slide,audio_path,
/js/tasks/social_media/media/instructions/Slide1.jpeg,
/js/tasks/social_media/media/instructions/Slide2.jpeg,/js/tasks/social_media/media/instructions_audio/Slide2.mp3,
/js/tasks/social_media/media/instructions/Slide3.jpeg,/js/tasks/social_media/media/instructions_audio/Slide3.mp3,
/js/tasks/social_media/media/instructions/Slide4.jpeg,/js/tasks/social_media/media/instructions_audio/Slide4.mp3,
/js/tasks/social_media/media/instructions/Slide5.jpeg,/js/tasks/social_media/media/instructions_audio/Slide5.mp3,
/js/tasks/social_media/media/instructions/Slide6.jpeg,/js/tasks/social_media/media/instructions_audio/Slide6.mp3,
/js/tasks/social_media/media/instructions/Slide7.jpeg,/js/tasks/social_media/media/instructions_audio/Slide7.mp3,
/js/tasks/social_media/media/instructions/Slide8.jpeg,/js/tasks/social_media/media/instructions_audio/Slide8.mp3,
/js/tasks/social_media/media/instructions/Slide9.jpeg,/js/tasks/social_media/media/instructions_audio/Slide9.mp3,
/js/tasks/social_media/media/instructions/Slide10.jpeg,/js/tasks/social_media/media/instructions_audio/Slide10.mp3,
/js/tasks/social_media/media/instructions/Slide11.jpeg,/js/tasks/social_media/media/instructions_audio/Slide11.mp3,
/js/tasks/social_media/media/instructions/Slide12.jpeg,/js/tasks/social_media/media/instructions_audio/Slide12.mp3,
/js/tasks/social_media/media/instructions/Slide13.jpeg,/js/tasks/social_media/media/instructions_audio/Slide13.mp3,
/js/tasks/social_media/media/instructions/Slide14.jpeg,/js/tasks/social_media/media/instructions_audio/Slide14.mp3,
/js/tasks/social_media/media/instructions/Slide15.jpeg,/js/tasks/social_media/media/instructions_audio/Slide15.mp3,
/js/tasks/social_media/media/instructions/Slide16.jpeg,/js/tasks/social_media/media/instructions_audio/Slide16.mp3,
/js/tasks/social_media/media/instructions/Slide17.jpeg,/js/tasks/social_media/media/instructions_audio/Slide17.mp3,
/js/tasks/social_media/media/instructions/Slide18.jpeg,/js/tasks/social_media/media/instructions_audio/Slide18.mp3,
/js/tasks/social_media/media/instructions/Slide19.jpeg,/js/tasks/social_media/media/instructions_audio/Slide19.mp3,
/js/tasks/social_media/media/instructions/Slide20.jpeg,/js/tasks/social_media/media/instructions_audio/Slide20.mp3,
/js/tasks/social_media/media/instructions/Slide21.jpeg,/js/tasks/social_media/media/instructions_audio/Slide21.mp3,
/js/tasks/social_media/media/instructions/Slide22.jpeg,/js/tasks/social_media/media/instructions_audio/Slide22.mp3,
/js/tasks/social_media/media/instructions/Slide23.jpeg,/js/tasks/social_media/media/instructions_audio/Slide23.mp3,
/js/tasks/social_media/media/instructions/Slide24.jpeg,/js/tasks/social_media/media/instructions_audio/Slide24.mp3,
/js/tasks/social_media/media/instructions/Slide25.jpeg,/js/tasks/social_media/media/instructions_audio/Slide25.mp3,
/js/tasks/social_media/media/instructions/Slide26.jpeg,/js/tasks/social_media/media/instructions_audio/Slide26.mp3,
/js/tasks/social_media/media/instructions/Slide27.jpeg,/js/tasks/social_media/media/instructions_audio/Slide27.mp3,
