trials_block,game_type,probability_1,probability_2,probability_3,face_group,face_1,face_2,face_3,ITI,game_room_number
16,pleasant,0.253,0.2638,0.8082,15,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_15/NF-1094.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_15/NF-1100.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_15/NF-1101.jpg,4.0,1
16,pleasant,0.4557,0.4873,0.6372,33,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_33/CFD-BM-009-002-N.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_33/CFD-BM-019-002-N.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_33/CFD-BM-030-003-N.jpg,1.0,2
16,pleasant,0.4937,0.8078,0.6343,11,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_11/NF-1006.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_11/NF-1051.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_11/NF-1071.jpg,0.5,3
16,pleasant,0.5003,0.4056,0.3771,5,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_5/NF-1009.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_5/NF-1083.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_5/NF-1096.jpg,0.5,4
16,pleasant,0.3623,0.3891,0.1726,20,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_20/NF-1025.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_20/NF-1050.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_20/NF-1056.jpg,1.5,5
16,pleasant,0.7749,0.4079,0.428,26,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_26/NF-1057.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_26/NF-1072.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_26/NF-1109.jpg,1.0,6
16,pleasant,0.4362,0.5075,0.2759,18,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_18/NF-1014.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_18/NF-1016.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_18/NF-1018.jpg,0.5,7
16,pleasant,0.697,0.251,0.3832,1,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_1/NF-1013.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_1/NF-1020.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_1/NF-1042.jpg,0.5,8
16,pleasant,0.6982,0.5139,0.47,17,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_17/NF-1012.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_17/NF-1022.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_17/NF-1031.jpg,1.5,9
16,pleasant,0.7151,0.5357,0.5668,3,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_3/NF-1043.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_3/NF-1106.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_3/NF-1108.jpg,1.0,10
