trials_block,game_type,probability_1,probability_2,probability_3,face_group,face_1,face_2,face_3,ITI
16,unpleasant,0.428,0.7749,0.4079,46,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_46/CFD-IM-739-012-N.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_46/CFD-IM-740-273-N.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_46/CFD-IM-743-006-N.jpg,4.0
16,unpleasant,0.1387,0.2993,0.6921,8,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_8/NF-1046.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_8/NF-1086.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_8/NF-1088.jpg,1.0
16,unpleasant,0.7227,0.6661,0.1447,22,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_22/NF-1037.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_22/NF-1041.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_22/NF-1048.jpg,0.5
16,unpleasant,0.6091,0.5586,0.5424,36,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_36/CFD-IM-638-250-1-N.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_36/CFD-IM-646-023-N.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_36/CFD-IM-647-548-N.jpg,0.5
16,unpleasant,0.6427,0.3672,0.0943,27,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_27/NM-1011.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_27/NM-1038.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_27/NM-1070.jpg,1.5
16,unpleasant,0.7971,0.7886,0.6485,7,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_7/NF-1063.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_7/NF-1097.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_7/NF-1105.jpg,1.0
16,unpleasant,0.7656,0.2712,0.9723,35,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_35/CFD-WM-217-070-N.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_35/CFD-WM-235-147-N.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_35/CFD-WM-245-123-N.jpg,0.5
16,unpleasant,0.47,0.6982,0.5139,14,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_14/NF-1076.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_14/NF-1080.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_14/NF-1099.jpg,0.5
16,unpleasant,0.1139,0.5797,0.5017,16,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_19/NF-1053.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_19/NF-1059.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_19/NF-1107.jpg,1.5
16,unpleasant,0.2759,0.4362,0.5075,4,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_4/NF-1005.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_4/NF-1015.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_4/NF-1017.jpg,1.0
