trials_block,game_type,probability_1,probability_2,probability_3,face_group,face_1,face_2,face_3
16,pleasant,0.5586,0.5424,0.6091,2,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_2/NF-1023.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_2/NF-1061.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_2/NF-1067.jpg
16,unpleasant,0.2712,0.9723,0.7656,46,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_46/CFD-IM-739-012-N.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_46/CFD-IM-740-273-N.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_46/CFD-IM-743-006-N.jpg
16,pleasant,0.3672,0.0943,0.6427,28,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_28/NM-1007.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_28/NM-1052.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_28/NM-1055.jpg
16,pleasant,0.7886,0.6485,0.7971,19,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_19/NF-1053.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_19/NF-1059.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_19/NF-1107.jpg
16,unpleasant,0.253,0.2638,0.8082,8,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_8/NF-1046.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_8/NF-1086.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_8/NF-1088.jpg
16,pleasant,0.2712,0.9723,0.7656,47,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_47/CFD-WM-221-091-N.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_47/CFD-WM-225-127-N.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_47/CFD-WM-241-072-N.jpg
16,pleasant,0.1321,0.671,0.7165,39,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_39/CFD-AM-207-108-N.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_39/CFD-AM-231-136-N.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_39/CFD-AM-242-176-N.jpg
16,unpleasant,0.6771,0.8909,0.1205,22,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_22/NF-1037.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_22/NF-1041.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_22/NF-1048.jpg
16,unpleasant,0.4557,0.4873,0.6372,36,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_36/CFD-IM-638-250-1-N.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_36/CFD-IM-646-023-N.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_36/CFD-IM-647-548-N.jpg
16,unpleasant,0.5797,0.5017,0.1139,27,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_27/NM-1011.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_27/NM-1038.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_27/NM-1070.jpg
