trials_block,game_type,probability_1,probability_2,probability_3,face_group,face_1,face_2,face_3,ITI
16,pleasant,0.7749,0.4079,0.428,2,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_2/NF-1023.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_2/NF-1061.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_2/NF-1067.jpg,4.0
16,pleasant,0.2993,0.6921,0.1387,28,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_28/NM-1007.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_28/NM-1052.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_28/NM-1055.jpg,1.0
16,pleasant,0.6661,0.1447,0.7227,19,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_19/NF-1053.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_19/NF-1059.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_19/NF-1107.jpg,0.5
16,pleasant,0.5586,0.5424,0.6091,39,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_39/CFD-AM-207-108-N.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_39/CFD-AM-231-136-N.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_39/CFD-AM-242-176-N.jpg,0.5
16,pleasant,0.3672,0.0943,0.6427,47,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_47/CFD-WM-221-091-N.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_47/CFD-WM-225-127-N.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_47/CFD-WM-241-072-N.jpg,1.5
16,pleasant,0.7886,0.6485,0.7971,25,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_25/NF-1004.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_25/NF-1069.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_25/NF-1087.jpg,1.0
16,pleasant,0.2712,0.9723,0.7656,6,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_6/NF-1047.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_6/NF-1068.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_6/NF-1110.jpg,0.5
16,pleasant,0.6982,0.5139,0.47,10,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_10/NF-1003.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_10/NF-1008.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_10/NF-1062.jpg,0.5
16,pleasant,0.5797,0.5017,0.1139,12,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_12/NF-1030.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_12/NF-1045.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_12/NF-1073.jpg,1.5
16,pleasant,0.4362,0.5075,0.2759,31,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_31/CFD-IM-694-297-N.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_31/CFD-IM-702-101-N.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_31/CFD-IM-703-182-N.jpg,1.0
