demo-JTCTTEST-T2-2018_6_29_18_28,User Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15,IP: ::1
QUESTION,RESULT,RT(ms)
demps_lv10_gender,1,5286
demps_lv10_hispanic_ethnicity,2,1913
demps_lv10_race,demps_lv10_race___14,3525
demps_lv10_engprimary,2,2119
demps_lv10_intactfamorigin,1,2394
demps_lv10_current_marital_status,3,1050
demps_lv10_prevmarried,0,1853
demps_lv10_nchild,1,1669
demps_lv10_nsachild,1,1570
demps_lv10_residence,2,1059
demps_lv10_current_educational_attainment,4,1213
demps_lv10_employment,13,1611
demps_lv10_leftjobreason,3,1940
mkturk_other,0,1779
