block,trial_number,initial_offer,trial_length,ts_high,ts_withdrawal,trial_isi,ITI
1,1,37,4,0,0,7778,0.5
1,2,65,4,0,0,6778,1.5
1,3,45,8,2,0,5667,1
1,4,56,4,0,0,5222,0.5
1,5,68,8,2,0,7556,1.5
1,6,48,4,0,0,6667,1
1,7,26,8,0,2,6111,1.5
1,8,41,8,0,2,4889,0.5
1,9,19,4,0,0,5778,0.5
1,10,68,8,0,0,4111,1.5
1,11,68,4,0,2,4556,0.5
1,12,37,8,0,2,7000,1
1,13,48,8,3,0,4667,0.5
1,14,56,8,0,2,5889,1
1,15,23,8,0,3,4445,0.5
1,16,12,4,4,0,7222,0.5
1,17,56,4,0,0,5111,1.5
1,18,19,8,0,0,5556,1
1,19,61,8,0,2,6222,1.5
1,20,59,4,0,0,6445,0.5
1,21,41,4,0,0,7111,1
1,22,28,8,2,0,4333,1
1,23,45,8,6,0,4778,0.5
1,24,45,4,0,3,5000,1.5
1,25,52,8,2,0,7889,0.5
1,26,19,8,0,8,6889,1
1,27,16,4,2,0,4000,1.5
1,28,65,4,0,2,5445,1.5
1,29,28,4,0,0,6000,0.5
1,30,16,4,0,0,6333,1
1,31,23,8,4,0,6556,0.5
1,32,32,4,0,0,4222,1.5
1,33,52,4,2,0,7333,0.5
1,34,16,8,3,0,7667,1
1,35,26,8,0,0,7445,1.5
1,36,52,4,3,0,5333,1
2,1,12,8,0,0,7222,1
2,2,59,4,0,0,5111,1
2,3,48,8,0,5,5445,0.5
2,4,61,4,0,4,6778,1
2,5,12,4,0,0,7889,1.5
2,6,48,8,0,8,6445,1.5
2,7,34,8,0,2,4667,0.5
2,8,19,4,0,0,6111,1
2,9,16,8,0,0,6667,0.5
2,10,61,4,0,3,4556,1.5
2,11,52,8,0,2,7445,1
2,12,65,4,0,4,4445,1.5
2,13,32,8,0,3,5222,0.5
2,14,41,4,2,0,6556,1
2,15,59,8,0,2,6000,0.5
2,16,19,4,0,0,7000,1.5
2,17,45,8,3,0,5778,1.5
2,18,37,4,0,0,4222,1
2,19,28,8,0,3,5556,0.5
2,20,61,8,0,2,5000,1
2,21,32,8,0,0,6333,1.5
2,22,23,4,0,0,7778,0.5
2,23,45,4,2,0,5667,1.5
2,24,48,4,0,0,7667,0.5
2,25,37,8,0,4,4000,1
2,26,16,4,3,0,4111,0.5
2,27,65,8,2,0,7111,1.5
2,28,48,4,0,0,4778,1
2,29,61,4,2,0,4889,1.5
2,30,59,4,0,0,4333,0.5
2,31,23,4,0,0,5333,1
2,32,32,8,0,2,7333,1.5
2,33,56,8,0,5,6222,0.5
2,34,12,8,0,0,6889,1.5
2,35,68,4,0,2,7556,1
2,36,23,8,0,0,5889,0.5
3,1,41,4,0,0,4000,1
3,2,26,4,0,3,6222,0.5
3,3,32,4,3,0,6556,1
3,4,61,8,0,0,5445,1.5
3,5,23,4,0,2,7222,1.5
3,6,37,8,2,0,4889,0.5
3,7,16,8,0,5,6333,1
3,8,65,8,0,0,7111,1.5
3,9,59,8,0,3,6667,1
3,10,34,4,0,0,7445,0.5
3,11,28,4,2,0,5667,1.5
3,12,34,4,0,0,5556,1
3,13,56,4,0,0,7667,1.5
3,14,32,4,0,4,6889,1
3,15,68,4,0,0,5222,0.5
3,16,52,8,0,0,4445,1.5
3,17,28,4,0,0,4333,1
3,18,52,4,0,0,7333,0.5
3,19,26,4,0,4,5000,1.5
3,20,59,8,0,4,4111,1
3,21,28,8,2,0,7778,1.5
3,22,41,8,2,0,7000,1
3,23,34,4,0,0,4222,0.5
3,24,12,8,0,3,6445,1.5
3,25,41,8,2,0,5778,1
3,26,12,4,0,0,6111,0.5
3,27,45,4,0,0,5333,1.5
3,28,68,8,3,0,5889,1
3,29,34,8,0,4,4778,0.5
3,30,26,4,0,0,4667,1.5
3,31,26,8,0,4,7889,1
3,32,65,8,2,0,6778,1.5
3,33,34,8,2,0,6000,0.5
3,34,56,8,0,0,4556,1.5
3,35,19,8,2,0,7556,0.5
3,36,37,4,0,0,5111,1
