block,trial_number,initial_offer,trial_length,ts_high,ts_withdrawal,trial_isi,ITI
1,1,37,8,0,2,7000,1
1,2,68,4,0,2,4556,0.5
1,3,68,8,0,0,4111,1.5
1,4,19,4,0,0,5778,0.5
1,5,41,8,0,2,4889,0.5
1,6,26,8,0,2,6111,1.5
1,7,48,4,0,0,6667,1
1,8,68,8,2,0,7556,1.5
1,9,56,4,0,0,5222,0.5
1,10,45,8,2,0,5667,1
1,11,65,4,0,0,6778,1.5
1,12,37,4,0,0,7778,0.5
1,13,52,4,3,0,5333,1
1,14,26,8,0,0,7445,1.5
1,15,16,8,3,0,7667,1
1,16,52,4,2,0,7333,0.5
1,17,32,4,0,0,4222,1.5
1,18,23,8,4,0,6556,0.5
1,19,16,4,0,0,6333,1
1,20,28,4,0,0,6000,0.5
1,21,65,4,0,2,5445,1.5
1,22,16,4,2,0,4000,1.5
1,23,19,8,0,8,6889,1
1,24,52,8,2,0,7889,0.5
1,25,45,4,0,3,5000,1.5
1,26,45,8,6,0,4778,0.5
1,27,28,8,2,0,4333,1
1,28,41,4,0,0,7111,1
1,29,59,4,0,0,6445,0.5
1,30,61,8,0,2,6222,1.5
1,31,19,8,0,0,5556,1
1,32,56,4,0,0,5111,1.5
1,33,12,4,4,0,7222,0.5
1,34,23,8,0,3,4445,0.5
1,35,56,8,0,2,5889,1
1,36,48,8,3,0,4667,0.5
2,1,65,4,0,4,4445,1.5
2,2,52,8,0,2,7445,1
2,3,61,4,0,3,4556,1.5
2,4,16,8,0,0,6667,0.5
2,5,19,4,0,0,6111,1
2,6,34,8,0,2,4667,0.5
2,7,48,8,0,8,6445,1.5
2,8,12,4,0,0,7889,1.5
2,9,61,4,0,4,6778,1
2,10,48,8,0,5,5445,0.5
2,11,59,4,0,0,5111,1
2,12,12,8,0,0,7222,1
2,13,23,8,0,0,5889,0.5
2,14,68,4,0,2,7556,1
2,15,12,8,0,0,6889,1.5
2,16,56,8,0,5,6222,0.5
2,17,32,8,0,2,7333,1.5
2,18,23,4,0,0,5333,1
2,19,59,4,0,0,4333,0.5
2,20,61,4,2,0,4889,1.5
2,21,48,4,0,0,4778,1
2,22,65,8,2,0,7111,1.5
2,23,16,4,3,0,4111,0.5
2,24,37,8,0,4,4000,1
2,25,48,4,0,0,7667,0.5
2,26,45,4,2,0,5667,1.5
2,27,23,4,0,0,7778,0.5
2,28,32,8,0,0,6333,1.5
2,29,61,8,0,2,5000,1
2,30,28,8,0,3,5556,0.5
2,31,37,4,0,0,4222,1
2,32,45,8,3,0,5778,1.5
2,33,19,4,0,0,7000,1.5
2,34,59,8,0,2,6000,0.5
2,35,41,4,2,0,6556,1
2,36,32,8,0,3,5222,0.5
3,1,34,4,0,0,5556,1
3,2,28,4,2,0,5667,1.5
3,3,34,4,0,0,7445,0.5
3,4,59,8,0,3,6667,1
3,5,65,8,0,0,7111,1.5
3,6,16,8,0,5,6333,1
3,7,37,8,2,0,4889,0.5
3,8,23,4,0,2,7222,1.5
3,9,61,8,0,0,5445,1.5
3,10,32,4,3,0,6556,1
3,11,26,4,0,3,6222,0.5
3,12,41,4,0,0,4000,1
3,13,37,4,0,0,5111,1
3,14,19,8,2,0,7556,0.5
3,15,56,8,0,0,4556,1.5
3,16,34,8,2,0,6000,0.5
3,17,65,8,2,0,6778,1.5
3,18,26,8,0,4,7889,1
3,19,26,4,0,0,4667,1.5
3,20,34,8,0,4,4778,0.5
3,21,68,8,3,0,5889,1
3,22,45,4,0,0,5333,1.5
3,23,12,4,0,0,6111,0.5
3,24,41,8,2,0,5778,1
3,25,12,8,0,3,6445,1.5
3,26,34,4,0,0,4222,0.5
3,27,41,8,2,0,7000,1
3,28,28,8,2,0,7778,1.5
3,29,59,8,0,4,4111,1
3,30,26,4,0,4,5000,1.5
3,31,52,4,0,0,7333,0.5
3,32,28,4,0,0,4333,1
3,33,52,8,0,0,4445,1.5
3,34,68,4,0,0,5222,0.5
3,35,32,4,0,4,6889,1
3,36,56,4,0,0,7667,1.5
