instruct_slide,audio_path
/js/tasks/active_trust/media/instructions/Slide1.JPG,
/js/tasks/active_trust/media/instructions/Slide2.JPG,
/js/tasks/active_trust/media/instructions/Slide3.JPG,/js/tasks/active_trust/media/instructions_audio/Slide2.mp3
/js/tasks/active_trust/media/instructions/Slide4.JPG,/js/tasks/active_trust/media/instructions_audio/Slide3.mp3
/js/tasks/active_trust/media/instructions/Slide5.JPG,/js/tasks/active_trust/media/instructions_audio/Slide4.mp3
/js/tasks/active_trust/media/instructions/Slide6.JPG,/js/tasks/active_trust/media/instructions_audio/Slide5.mp3
/js/tasks/active_trust/media/instructions/Slide7.JPG,/js/tasks/active_trust/media/instructions_audio/Slide6.mp3
/js/tasks/active_trust/media/instructions/Slide8.JPG,/js/tasks/active_trust/media/instructions_audio/Slide7.mp3
/js/tasks/active_trust/media/instructions/Slide9.JPG,/js/tasks/active_trust/media/instructions_audio/Slide8.mp3
/js/tasks/active_trust/media/instructions/Slide10.JPG,/js/tasks/active_trust/media/instructions_audio/Slide9.mp3
