module,trial_number,start,building_type,depth,OLL_ONLL,ITI,forced_choice,path_version
2a,0,5,office,1,NA,1.5,L,1
2a,1,5,office,1,NA,0.5,R,1
2a,2,2,library,1,NA,1,L,1
2a,3,2,library,1,NA,0.5,R,1
2a,4,6,office,1,NA,1,L,1
2a,5,6,office,1,NA,1.5,R,1
2a,6,7,library,1,NA,1.5,L,1
2a,7,7,library,1,NA,1,R,1
2a,8,5,library,1,NA,0.5,L,1
2a,9,5,library,1,NA,1.5,R,1
2a,10,7,office,1,NA,1,L,1
2a,11,7,office,1,NA,1,R,1
2a,12,2,office,1,NA,0.5,L,1
2a,13,2,office,1,NA,1.5,R,1
2a,14,3,library,1,NA,0.5,L,1
2a,15,3,library,1,NA,1,R,1
2a,16,3,office,1,NA,0.5,L,1
2a,17,3,office,1,NA,1.5,R,1
2a,18,4,library,1,NA,1,L,1
2a,19,4,library,1,NA,1.5,R,1
2a,20,4,office,1,NA,0.5,L,1
2a,21,4,office,1,NA,1.5,R,1
2a,22,6,library,1,NA,1,L,1
2a,23,6,library,1,NA,1,R,1
