module,trial_number,start,building_type,depth,OLL_ONLL,ITI,forced_choice,path_version
2a,0,2,office,1,NA,1.5,L,2
2a,1,2,office,1,NA,0.5,R,2
2a,2,3,library,1,NA,1,L,2
2a,3,3,library,1,NA,0.5,R,2
2a,4,3,office,1,NA,1,L,2
2a,5,3,office,1,NA,1.5,R,2
2a,6,4,library,1,NA,1.5,L,2
2a,7,4,library,1,NA,1,R,2
2a,8,4,office,1,NA,0.5,L,2
2a,9,4,office,1,NA,1.5,R,2
2a,10,6,library,1,NA,1,L,2
2a,11,6,library,1,NA,1,R,2
2a,12,5,office,1,NA,0.5,L,2
2a,13,5,office,1,NA,1.5,R,2
2a,14,2,library,1,NA,0.5,L,2
2a,15,2,library,1,NA,1,R,2
2a,16,6,office,1,NA,0.5,L,2
2a,17,6,office,1,NA,1.5,R,2
2a,18,7,library,1,NA,1,L,2
2a,19,7,library,1,NA,1.5,R,2
2a,20,5,library,1,NA,0.5,L,2
2a,21,5,library,1,NA,1.5,R,2
2a,22,7,office,1,NA,1,L,2
2a,23,7,office,1,NA,1,R,2
