module,trial_number,start,building_type,depth,OLL_ONLL,ITI,forced_choice,path_version
2a,0,2,library,1,NA,1.5,L,3
2a,1,2,library,1,NA,0.5,R,3
2a,2,6,office,1,NA,1,L,3
2a,3,6,office,1,NA,0.5,R,3
2a,4,7,library,1,NA,1,L,3
2a,5,7,library,1,NA,1.5,R,3
2a,6,4,office,1,NA,1.5,L,3
2a,7,4,office,1,NA,1,R,3
2a,8,6,library,1,NA,0.5,L,3
2a,9,6,library,1,NA,1.5,R,3
2a,10,5,office,1,NA,1,L,3
2a,11,5,office,1,NA,1,R,3
2a,12,5,library,1,NA,0.5,L,3
2a,13,5,library,1,NA,1.5,R,3
2a,14,7,office,1,NA,0.5,L,3
2a,15,7,office,1,NA,1,R,3
2a,16,2,office,1,NA,0.5,L,3
2a,17,2,office,1,NA,1.5,R,3
2a,18,3,library,1,NA,1,L,3
2a,19,3,library,1,NA,1.5,R,3
2a,20,3,office,1,NA,0.5,L,3
2a,21,3,office,1,NA,1.5,R,3
2a,22,4,library,1,NA,1,L,3
2a,23,4,library,1,NA,1,R,3
