module,trial_number,start,building_type,depth,OLL_ONLL,ITI,forced_choice,path_version
3,0,1,library,2,OLL,1.5,X,1
3,1,1,office,3,OLL,0.5,X,1
3,2,1,library,3,ONLL,1.5,X,1
3,3,1,office,2,ONLL,1,X,1
3,4,1,library,3,ONLL,1.5,X,1
3,5,1,office,2,OLL,0.5,X,1
3,6,1,library,3,ONLL,1,X,1
3,7,1,office,2,ONLL,1,X,1
3,8,1,library,3,ONLL,1.5,X,1
3,9,1,library,2,OLL,1,X,1
3,10,1,office,3,OLL,0.5,X,1
3,11,1,library,2,OLL,1.5,X,1
3,12,1,office,3,ONLL,1,X,1
3,13,1,library,2,OLL,0.5,X,1
3,14,1,office,3,OLL,1,X,1
3,15,1,office,2,ONLL,0.5,X,1
3,16,1,library,3,ONLL,1,X,1
3,17,1,office,3,OLL,1.5,X,1
3,18,1,office,2,ONLL,0.5,X,1
3,19,1,library,2,OLL,1,X,1
