module,building_type,start,forced_choice,path_version,choice_a,choice_b,choice_c,choice_d
2b,office,1,left,1,5-5,10-0,20-10,10-5
2b,office,1,right,1,0-0,10-5,5-0,5-5
2b,library,1,left,1,10-20,0-20,0-5,5-10
2b,library,1,right,1,5-5,5-0,10-10,10-5
2b,office,2,left,1,5-5,0-10,5-20,10-5
2b,office,2,right,1,5-0,10-20,0-20,0-10
2b,library,2,left,1,0-5,5-0,5-10,20-0
2b,library,2,right,1,20-0,5-0,20-10,5-5
2b,office,3,left,1,0-0,5-0,0-10,5-10
2b,office,3,right,1,5-2,5-10,0-2,10-10
2b,library,3,left,1,10-0,10-5,5-5,5-0
2b,library,3,right,1,10-10,5-10,5-0,0-2
2b,office,4,left,1,0-5,5-5,10-10,0-10
2b,office,4,right,1,0-5,10-0,10-5,0-20
2b,library,4,left,1,10-0,10-2,5-0,5-5
2b,library,4,right,1,10-10,10-5,5-5,0-10
2b,office,5,left,1,0-2,20-0,20-10,10-0
2b,office,5,right,1,10-2,10-10,5-2,5-5
2b,library,5,left,1,0-2,0-5,10-2,10-5
2b,library,5,right,1,5-5,0-10,0-5,10-10
2b,office,6,left,1,5-0,5-5,10-0,20-10
2b,office,6,right,1,0-10,5-10,10-5,0-20
2b,library,6,left,1,10-0,5-2,0-10,5-0
2b,library,6,right,1,10-0,10-2,20-0,0-5
2b,office,7,left,1,0-10,20-10,0-5,5-5
2b,office,7,right,1,10-5,0-2,10-10,5-10
2b,library,7,left,1,5-10,20-0,20-10,10-0
2b,library,7,right,1,0-0,10-0,5-2,0-5
