word,ink_color
lend,blue
bread,red
soap,green
core,red
ear,red
kept,blue
park,green
comb,red
phrase,green
quote,green
feet,red
pad,blue
branch,red
pan,blue
inch,blue
chess,red
folk,blue
lid,blue
town,green
flour,red
clock,red
straw,green
tune,green
land,blue
cool,red
self,green
neat,blue
stretch,green
pen,green
math,blue
harm,blue
scare,green
blood,red
shot,green
hate,blue
seize,green
gun,blue
pain,blue
shoot,green
fight,red
scream,green
bomb,red
gore,blue
burn,red
raid,blue
trap,green
fear,red
bleed,red
stab,green
bled,red
die,red
shock,green
choke,red
hit,blue
strike,green
rot,green
rage,blue
grave,blue
clash,red
fright,blue
math,green
feet,blue
bread,blue
stretch,red
chess,blue
comb,blue
self,red
straw,red
lid,green
soap,red
core,blue
clock,blue
phrase,red
land,green
kept,green
branch,blue
flour,blue
lend,green
ear,blue
park,red
tune,red
folk,green
pen,red
pan,green
neat,green
cool,blue
pad,green
town,red
quote,red
inch,green
hit,green
stab,red
blood,blue
rage,green
harm,green
fear,blue
shot,red
shoot,red
pain,green
fright,green
die,blue
trap,red
bleed,blue
scream,red
seize,red
gore,green
strike,red
choke,blue
clash,blue
raid,green
fight,blue
bomb,blue
grave,green
bled,blue
shock,red
burn,blue
rot,red
gun,green
hate,green
scare,red
kept,red
tune,blue
straw,blue
math,red
pad,red
soap,blue
quote,blue
comb,green
town,blue
lend,red
land,red
park,blue
flour,green
neat,red
core,green
inch,red
clock,green
ear,green
phrase,blue
cool,green
chess,green
folk,red
pen,blue
bread,green
feet,green
stretch,blue
branch,green
self,blue
lid,red
pan,red
pain,red
raid,red
choke,green
rot,blue
burn,green
trap,blue
fright,red
clash,green
fight,green
shock,blue
die,green
shot,blue
grave,red
hit,red
seize,blue
scream,blue
gun,red
fear,green
blood,green
hate,red
bomb,green
shoot,blue
rage,red
gore,red
stab,blue
bleed,green
strike,blue
bled,green
scare,blue
harm,red
